Address,StoreID,DistanceA,DistanceB,DistanceC,DistanceD,TimeA,TimeB,TimeC,TimeD
"798 Lynnhaven Pkwy, Virginia Beach, VA 23452",22,97.7,45.4,27.9,11.1,110,54,33,25
"134 Thalia Village Shoppes, Virginia Beach, VA 23452",23,93.9,41.6,24.1,10.4,106,49,29,21
"4600 Virginia Beach Blvd, Virginia Beach, VA 23462",24,93,40.7,23.2,9.5,105,47,28,20
"325 Kellam Rd, Virginia Beach, VA 23462",25,92.5,40.2,22.7,9.4,105,47,28,20
"5108 Virginia Beach Blvd, Virginia Beach, VA 23462",26,91.5,39.2,21.7,8.4,101,44,25,17
"3312 Holland Rd, Virginia Beach, VA 23452",27,95.8,43.5,25.9,9.8,110,54,34,23
"4464 Princess Anne Rd, Virginia Beach, VA 23462",28,94.5,43.1,23.6,8,109,50,31,19
"4660 Princess Anne Rd, Virginia Beach, VA 23462",29,94.1,41.7,23.3,7.6,106,48,29,19
"3025 E Virginia Beach Blvd, Norfolk, VA 23504",30,86.5,33.9,16.2,8.9,100,43,22,19
"2256 Red Tide Rd, Virginia Beach, VA 23451",31,94.2,34,28.4,16.6,109,43,36,27
"1160 Portsmouth Blvd, Suffolk, VA 23434",32,87,42.2,8.6,20.5,100,44,14,28
"2205 Princess Anne Rd, Virginia Beach, VA 23456",33,102,49.3,30.5,14.9,125,66,42,28
"4720 Hampton Blvd, Norfolk, VA 23508",34,85.8,33.5,15.8,13.8,100,43,22,28
"8105 hampton blvd, norfolk va 23505",35,85.3,33,18.8,16.8,98,41,31,28
"6100 Tidewater Dr, Norfolk, VA 23509",36,83,30.7,17.5,11,92,36,25,21
"2220 Pleasure House Rd, Virginia Beach, VA 23455",37,90.9,38.6,25.1,13.4,106,48,33,24
"896 Diamond Springs Rd, Virginia Beach, VA 23455",38,88.3,36,22.5,10.2,102,44,28,19
"4904 Haygood Rd, Virginia Beach, VA 23455",39,89.7,37.4,23.8,10.5,105,46,31,22
"720 Independence Blvd, Virginia Beach, VA 23455",40,94.4,42,24.6,10.4,110,49,30,21
"696 Aragona Blvd, Virginia Beach, VA 23462",41,92.6,40.3,22.8,9.5,107,46,28,19
"130 S Newtown Rd, Virginia Beach, VA 23462",42,89.7,37.4,19.7,7.9,101,42,24,15
"6673 Indian River Rd, Virginia Beach, VA 23464",43,91.6,39.3,20.2,5.3,104,45,25,15
"6020 Godwin Blvd, Suffolk, VA 23432",44,84,31.7,13.4,30.3,92,43,24,44
"1025 Eden Way N, Chesapeake, VA 23320",45,95.1,42.8,17.4,1.5,109,49,23,6
"1040 S Battlefield Blvd, Chesapeake, VA 23322",46,103,50.6,20,6.9,116,53,23,12
"1869 Kempsville Rd, Virginia Beach, VA 23464",47,94.1,41.8,21.9,3.9,109,48,27,10
"5201 Providence Rd, Virginia Beach, VA 23464",48,93.2,40.8,21.9,6.1,106,48,28,15
"5191 W Military Hwy, Chesapeake, VA 23321",49,88.9,34.5,6,14.4,100,40,11,23
"975 E Little Creek Rd, Norfolk, VA 23518",50,83.7,30.2,25,13.3,92,38,31,21
"4800 Shore Dr, Virginia Beach, VA 23455",51,90.9,37.5,25.1,13.3,102,46,34,24
"2916 Godwin Blvd, Suffolk, VA 23434",52,80.5,46.4,9.9,25.5,96,50,17,39
"5701 Northampton Blvd, Virginia Beach, VA 23455",53,88,34.8,22.2,10.4,97,44,29,19
"3360 E Princess Anne Rd, Norfolk, VA 23502",54,85.3,32.5,17,12.1,94,42,28,24
"201 S Rosemont Rd, Virginia Beach, VA 23452",55,94.6,41.6,24.8,13.1,102,49,29,20
"1921 Centerville Turnpike, Virginia Beach, VA 23464",56,93.7,40.4,25.1,3.3,101,47,26,8
"471 Kempsville Rd, Chesapeake, VA 23320",57,97.3,44.9,18.4,2.2,109,26,24,6
"5048 Ferrell Pkwy, Virginia Beach, VA 23464",58,93.2,39.9,21,5.3,104,48,28,15
"4377 Holland Rd, Virginia Beach, VA 23452",59,92.9,40.6,23.1,11.3,100,47,26,17
